depot_id,customers,vehicles,exact_dist_km,hq_dist_km,annealed_turing_dist_km,fast_turing_dist_km,ga_dist_km,qpso_dist_km,exact_time_s,hq_time_s,annealed_turing_time_s,fast_turing_time_s,ga_time_s,qpso_time_s,violations
76,11,1,10.98,10.98,10.98,10.98,15.57,15.55,0.9981570243835449,0.15669894218444824,0.02209758758544922,0.014846563339233398,0.01673293113708496,0.0236051082611084,0
77,10,1,9.08,9.08,9.08,9.72,12.86,11.53,1.0117955207824707,0.1590406894683838,0.007669210433959961,0.01678466796875,0.0072290897369384766,0.016054391860961914,0
78,15,2,5.73,5.84,5.94,7.88,8.16,8.2,1.0028157234191895,0.27329158782958984,0.07339596748352051,0.0363001823425293,0.010961294174194336,0.038858890533447266,0
79,2,1,0.39,0.39,0.39,0.39,0.39,0.39,0.9998018741607666,0.0010347366333007812,0.0,0.0,0.0017578601837158203,0.029981613159179688,0
80,8,1,5.85,5.85,5.85,6.06,5.92,5.92,1.0132958889007568,0.07929849624633789,0.012959718704223633,0.005399227142333984,0.018038511276245117,0.025806188583374023,0
81,14,2,6.93,6.95,6.95,7.55,6.99,8.46,1.0014877319335938,0.27661561965942383,0.09726953506469727,0.0321047306060791,0.015912532806396484,0.04116320610046387,0
82,14,1,4.72,4.72,4.72,4.72,4.91,4.77,1.0019426345825195,0.2691171169281006,0.014492034912109375,0.03333163261413574,0.016527175903320312,0.02985668182373047,0
83,13,2,7.14,7.14,7.14,7.67,7.14,10.54,1.0098960399627686,0.3002810478210449,0.09940195083618164,0.01967144012451172,0.0,0.019618511199951172,0
84,4,1,9.04,9.04,9.04,9.04,9.41,9.04,1.0002827644348145,0.0,0.01655411720275879,0.0,0.0,0.017124414443969727,0
85,13,1,5.46,5.48,6.0,6.05,7.87,7.42,1.005995512008667,0.2076718807220459,0.031623125076293945,0.018170833587646484,0.016997575759887695,0.03341269493103027,0
86,13,2,5.41,5.41,5.41,5.55,6.48,6.49,1.0056672096252441,0.30342698097229004,0.24657821655273438,0.02527904510498047,0.010335922241210938,0.018883705139160156,0
87,11,1,11.33,11.33,11.33,11.38,11.61,11.66,0.9998135566711426,0.09281325340270996,0.006947517395019531,0.010040044784545898,0.0,0.0,0
88,9,1,6.58,6.58,7.22,7.39,7.34,10.09,0.9871232509613037,0.04729938507080078,0.0,0.01589798927307129,0.02152419090270996,0.0008556842803955078,0
89,6,1,3.78,3.78,3.78,3.81,3.84,3.81,0.9985325336456299,0.016952991485595703,0.0,0.0,0.0,0.01802372932434082,0
90,14,1,11.43,11.68,13.54,12.71,14.47,16.41,0.9997000694274902,0.03451681137084961,0.0,0.0157620906829834,0.016742229461669922,0.0,0
91,39,4,13.69,14.66,14.41,20.49,23.13,20.32,0.9999144077301025,0.38407254219055176,0.3001723289489746,0.08221268653869629,0.016301393508911133,0.017718076705932617,0
92,16,2,5.67,5.67,5.67,6.66,6.86,7.39,1.0149774551391602,0.21756887435913086,0.04796648025512695,0.018201828002929688,0.017635583877563477,0.0,0
93,16,2,4.27,4.27,4.27,4.85,4.68,4.84,0.9996638298034668,0.14995431900024414,0.1013941764831543,0.0,0.0,0.015614032745361328,0
94,5,1,7.64,7.64,7.64,7.74,8.09,7.72,1.0018255710601807,0.015447616577148438,0.0,0.0,0.0,0.0,0
95,14,1,4.75,4.75,4.75,4.75,7.21,6.45,0.9998471736907959,0.11612319946289062,0.01700758934020996,0.0,0.0,0.015587806701660156,0
96,13,1,4.23,4.23,4.44,4.45,4.52,6.09,0.9976239204406738,0.08559513092041016,0.0,0.0,0.016367673873901367,0.01690220832824707,0
97,2,1,15.29,15.29,15.29,15.29,15.29,15.29,0.9941725730895996,0.0,0.0020110607147216797,0.0,0.0,0.009679317474365234,0
98,27,2,8.41,8.49,8.61,9.68,9.6,10.07,1.0075511932373047,0.30493998527526855,0.2042093276977539,0.02435779571533203,0.017790555953979492,0.0095062255859375,0
99,5,1,4.97,4.97,4.97,4.97,9.09,13.2,0.994105339050293,0.01535177230834961,0.0,0.007619619369506836,0.015593290328979492,0.0,0
100,11,1,7.03,7.03,7.03,7.08,7.58,7.27,1.013526201248169,0.0443267822265625,0.007616758346557617,0.0,0.01022028923034668,0.0,0
101,13,1,18.03,18.03,18.03,18.03,18.28,18.65,1.0055270195007324,0.10644865036010742,0.00904536247253418,0.010065555572509766,0.0,0.0013914108276367188,0
102,7,1,1.65,1.65,1.65,1.65,1.78,1.65,0.9993202686309814,0.019730567932128906,0.0023679733276367188,0.0,0.0,0.009290456771850586,0
103,10,1,4.6,4.6,4.6,5.03,5.21,5.23,1.0033981800079346,0.0399174690246582,0.01025700569152832,0.008318424224853516,0.0,0.004268169403076172,0
104,11,1,4.42,4.42,4.48,4.52,4.75,4.77,0.9999451637268066,0.043767690658569336,0.0,0.0070037841796875,0.0,0.0,0
105,2,1,11.25,11.25,11.25,11.25,11.25,11.25,1.0003769397735596,0.0,0.0,0.0,0.0012440681457519531,0.014004945755004883,0
106,24,2,12.65,12.72,12.69,14.49,14.91,13.45,0.9962241649627686,0.3521292209625244,0.20407748222351074,0.02181243896484375,0.009539604187011719,0.01660323143005371,0
107,5,1,8.59,8.59,8.59,9.06,8.99,10.21,1.0052011013031006,0.0021278858184814453,0.0,0.0,0.009943008422851562,0.0,0
108,5,1,3.65,3.65,3.65,3.65,3.68,3.68,1.0047845840454102,0.01569652557373047,0.0009860992431640625,0.0,0.0,0.01211094856262207,0
109,16,2,6.28,6.28,6.35,6.44,7.44,6.74,1.0052170753479004,0.14745783805847168,0.06715273857116699,0.02656078338623047,0.0,0.0,0
110,6,1,6.08,6.67,6.67,6.33,8.99,8.97,0.9997010231018066,0.009417057037353516,0.0,0.007166147232055664,0.009960174560546875,0.0,0
111,7,1,4.27,4.27,4.29,4.42,4.41,4.42,0.9994215965270996,0.01869797706604004,0.0,0.0041506290435791016,0.0,0.0071756839752197266,0
112,17,2,6.56,6.56,6.57,12.51,8.13,7.39,1.0025334358215332,0.31543827056884766,0.08347940444946289,0.016660451889038086,0.01157999038696289,0.014957904815673828,0
113,16,2,4.26,4.26,4.34,4.71,4.39,4.96,1.000209093093872,0.21682047843933105,0.10543608665466309,0.02113509178161621,0.010469198226928711,0.005436420440673828,0
115,12,1,5.94,5.94,5.94,6.06,8.22,7.53,1.001091480255127,0.08046913146972656,0.013645648956298828,0.008625984191894531,0.004096031188964844,0.007016897201538086,0
116,5,1,3.57,3.57,3.57,3.57,3.59,3.57,0.9927198886871338,0.0,0.010524272918701172,0.0020902156829833984,0.0,0.014394283294677734,0
117,19,2,7.54,8.23,9.23,11.97,8.73,11.28,1.0155673027038574,0.3137543201446533,0.05093264579772949,0.0,0.018302202224731445,0.0,0
119,2,1,2.41,2.41,2.41,2.41,2.41,2.41,1.0069901943206787,0.0,0.0,0.0,0.0020029544830322266,0.0040090084075927734,0
120,4,1,9.06,9.06,9.06,9.79,9.79,9.79,0.9962515830993652,0.01613450050354004,0.0,0.0,0.015669822692871094,0.0,0
121,11,1,5.31,5.31,5.34,5.34,5.57,5.56,1.002692461013794,0.03607773780822754,0.0,0.015131711959838867,0.0,0.0,0
122,17,2,3.84,3.84,3.84,3.84,4.08,4.65,1.0095605850219727,0.23050308227539062,0.12128758430480957,0.0,0.0,0.0065555572509765625,0
123,7,1,4.9,4.9,4.9,4.9,4.9,4.9,1.0038244724273682,0.01599717140197754,0.0,0.0,0.0,0.014167070388793945,0
124,34,3,9.62,9.67,10.42,10.67,11.9,11.61,1.000302791595459,0.3292670249938965,0.3003270626068115,0.03147697448730469,0.009080648422241211,0.022965669631958008,0
125,10,1,11.61,11.61,11.61,11.71,11.78,11.75,1.0027427673339844,0.058509111404418945,0.0031185150146484375,0.014661788940429688,0.0020029544830322266,0.008033514022827148,0
126,15,2,6.47,6.47,6.47,6.6,6.69,6.66,1.015399694442749,0.1823875904083252,0.08246922492980957,0.0,0.0,0.0,0
127,12,1,5.46,5.46,5.46,5.47,7.35,6.35,0.9999215602874756,0.055994272232055664,0.0,0.015941619873046875,0.0,0.00993490219116211,0
128,8,1,5.42,5.42,5.42,5.52,5.83,5.77,0.9994320869445801,0.013016700744628906,0.016427278518676758,0.0,0.015803813934326172,0.0,0
129,10,1,7.76,7.76,7.76,7.95,10.6,7.99,0.9990999698638916,0.052245140075683594,0.0,0.014049530029296875,0.01514577865600586,0.0,0
130,1,1,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0
131,3,1,3.68,3.68,6.66,7.36,3.68,3.68,1.0024807453155518,0.0,0.0,0.0,0.016129493713378906,0.0,0
132,5,1,3.32,3.39,3.39,3.66,3.32,3.88,1.0134074687957764,0.008775711059570312,0.0,0.0,0.0,0.002006053924560547,0
133,16,2,4.42,4.42,4.42,4.47,4.57,12.65,0.9979932308197021,0.3676135540008545,0.1024634838104248,0.0037081241607666016,0.0,0.016131877899169922,0
134,9,1,3.73,3.73,3.73,4.51,4.67,4.67,0.9998588562011719,0.031260013580322266,0.0027458667755126953,0.0,0.0,0.01672816276550293,0
135,21,2,7.99,7.99,8.72,8.91,9.32,8.94,1.0055768489837646,0.3019676208496094,0.17503094673156738,0.016015291213989258,0.0,0.019655942916870117,0
136,8,1,5.86,5.86,5.86,5.9,7.53,6.6,1.0100479125976562,0.03157639503479004,0.0,0.0,0.0,0.007153034210205078,0
137,9,1,9.95,9.95,9.95,9.95,9.98,9.95,0.9929697513580322,0.047597408294677734,0.0,0.009018421173095703,0.01598334312438965,0.0,0
138,9,1,2.31,2.31,2.31,2.31,2.31,2.31,0.9986331462860107,0.042925357818603516,0.004666805267333984,0.0,0.015729904174804688,0.0,0
139,9,1,3.77,3.77,3.77,3.77,4.33,4.61,1.011216402053833,0.05185985565185547,0.0,0.0,0.007480621337890625,0.00400853157043457,0
140,9,1,6.17,6.17,8.16,6.98,6.89,10.86,1.001828670501709,0.016058921813964844,0.0,0.01589035987854004,0.0038688182830810547,0.0113372802734375,0
141,12,1,5.3,5.3,5.48,5.74,5.7,5.59,0.994154691696167,0.05174422264099121,0.0,0.011385917663574219,0.01572585105895996,0.0,0
142,1,1,0.56,0.56,0.56,0.56,0.56,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0
143,23,2,10.18,10.18,10.2,11.16,14.16,16.7,0.9981822967529297,0.3145139217376709,0.14186549186706543,0.03160738945007324,0.0,0.015789031982421875,0
144,12,1,8.59,8.59,10.45,8.87,11.55,11.82,0.9934654235839844,0.049317359924316406,0.0074846744537353516,0.0,0.0,0.015990495681762695,0
145,7,1,3.43,3.43,3.43,3.49,3.43,3.43,0.9986486434936523,0.016421079635620117,0.0,0.0162351131439209,0.0,0.0,0
146,12,1,8.72,8.72,8.72,8.94,9.86,9.49,0.9991364479064941,0.07152175903320312,0.0,0.0,0.015657424926757812,0.01549983024597168,0
147,18,2,6.54,6.89,8.18,8.53,7.2,16.16,0.9935660362243652,0.31008267402648926,0.03934645652770996,0.0438687801361084,0.015866756439208984,0.014047384262084961,0
148,15,2,7.49,8.06,8.06,8.78,7.5,10.38,1.0028109550476074,0.1188211441040039,0.035134077072143555,0.0,0.01631450653076172,0.033304691314697266,0
149,18,2,7.47,7.47,7.47,7.72,8.72,8.68,1.000013828277588,0.316845178604126,0.32973146438598633,0.05011749267578125,0.01768970489501953,0.035186052322387695,0
150,6,1,4.92,4.92,4.92,4.92,5.03,5.03,0.9998776912689209,0.030765771865844727,0.0,0.016738414764404297,0.018174409866333008,0.015568256378173828,0
151,7,1,5.08,5.08,5.9,6.23,6.3,6.3,1.0020520687103271,0.020695209503173828,0.012052536010742188,0.0038437843322753906,0.0039975643157958984,0.017444849014282227,0
152,22,2,4.52,4.52,4.83,4.81,5.1,4.67,1.0103051662445068,0.35671567916870117,0.30907130241394043,0.03385782241821289,0.01698589324951172,0.032053470611572266,0
153,17,2,5.49,5.8,5.8,5.8,6.38,6.76,0.9995150566101074,0.30287671089172363,0.3162722587585449,0.03255438804626465,0.016062259674072266,0.03595924377441406,0
155,2,1,0.75,0.75,0.75,0.75,0.75,0.75,1.0017797946929932,0.0,0.0,0.01617145538330078,0.004000425338745117,0.0049953460693359375,0
156,8,1,4.64,4.64,4.64,4.66,4.72,4.75,1.0071158409118652,0.06468605995178223,0.016347169876098633,0.0,0.0,0.018543004989624023,0
157,10,1,10.35,10.35,10.35,10.41,11.69,11.45,1.003603458404541,0.06978321075439453,0.0,0.03275418281555176,0.016855716705322266,0.012632131576538086,0
158,5,1,9.26,9.26,9.26,9.33,9.33,9.33,0.9980838298797607,0.029503345489501953,0.002108335494995117,0.0009198188781738281,0.0,0.017471790313720703,0
159,15,1,17.62,17.74,18.69,17.82,19.34,26.48,1.0004212856292725,0.13314390182495117,0.018617868423461914,0.014117956161499023,0.029266834259033203,0.03726506233215332,0
160,16,2,7.0,7.26,7.3,7.45,8.45,8.28,0.9930319786071777,0.311415433883667,0.3063499927520752,0.02261805534362793,0.016424179077148438,0.05005216598510742,0
161,8,1,5.63,5.63,5.63,5.74,5.88,5.86,1.0003507137298584,0.06712079048156738,0.01478433609008789,0.0,0.0,0.032859086990356445,0
162,19,2,7.48,7.48,7.55,7.79,8.24,9.12,1.0020484924316406,0.30593061447143555,0.3116488456726074,0.0479741096496582,0.016830921173095703,0.0333254337310791,0
163,13,1,5.44,5.52,6.33,6.52,7.07,7.89,1.0006732940673828,0.08979940414428711,0.0,0.030178070068359375,0.011415719985961914,0.03790569305419922,0
164,11,1,20.88,21.58,21.95,23.51,23.37,24.76,0.9994275569915771,0.11527609825134277,0.001386880874633789,0.01755380630493164,0.009587526321411133,0.024058103561401367,0
165,3,1,1.78,1.78,1.78,1.78,1.84,1.84,1.0069749355316162,0.008738994598388672,0.0006277561187744141,0.0,0.013140678405761719,0.01441502571105957,0
166,1,1,2.51,2.51,2.51,2.51,2.51,2.51,0.0,0.0,0.0,0.003171682357788086,0.0,0.0,0
167,28,2,11.08,11.03,12.19,13.44,14.5,12.64,1.0056564807891846,0.37699079513549805,0.35527873039245605,0.12811851501464844,0.04938769340515137,0.0453495979309082,0
168,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0071446895599365234,0.0,0.0,0
169,13,1,3.32,3.32,3.32,3.32,3.52,3.32,1.012718677520752,0.1534261703491211,0.01447439193725586,0.019092559814453125,0.011852741241455078,0.023218154907226562,0
170,8,1,5.13,5.13,5.13,5.13,5.18,5.15,0.9986960887908936,0.03179359436035156,0.016062021255493164,0.017334699630737305,0.017481088638305664,0.01661205291748047,0
171,7,1,3.46,3.46,3.46,3.46,3.91,3.54,1.010286569595337,0.02352619171142578,0.016370773315429688,0.0,0.0,0.005074501037597656,0
