generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
356,-74093.54835647721,-82072.28102965758,193877.44973442302,19093.548356477215,11,0,100,30,5.768421052631579
357,-74093.54835647721,-86384.49063057658,193877.44973442302,19093.548356477215,11,0,100,32,2.1842105263157894
358,-74093.54835647721,-86726.69209671095,193877.44973442302,19093.548356477215,11,0,100,33,3.7473684210526317
359,-74093.54835647721,-89334.13044918289,193877.44973442302,19093.548356477215,11,0,100,27,4.489473684210527
360,-74093.54835647721,-92147.16912682047,193877.44973442302,19093.548356477215,11,0,100,36,10.094736842105263
361,-74093.54835647721,-95769.37996859015,193877.44973442302,19093.548356477215,11,0,100,32,4.105263157894737
362,-74093.54835647721,-92731.6303305671,193877.44973442302,19093.548356477215,11,0,100,38,1.9947368421052631
363,-74093.54835647721,-88182.22816217385,193877.44973442302,19093.548356477215,11,0,100,27,3.536842105263158
364,-74093.54835647721,-90106.34702070618,193877.44973442302,19093.548356477215,11,0,100,26,2.942105263157895
365,-74093.54835647721,-87231.88790480081,193877.44973442302,19093.548356477215,11,0,100,29,4.968421052631579
366,-74093.54835647721,-88677.6417340466,193877.44973442302,19093.548356477215,11,0,100,20,7.536842105263158
367,-74093.54835647721,-92332.91926001191,193877.44973442302,19093.548356477215,11,0,100,32,0.6
368,-74093.54835647721,-94423.97805949913,193877.44973442302,19093.548356477215,11,0,100,28,4.3578947368421055
369,-74093.54835647721,-85126.55040440187,193877.44973442302,19093.548356477215,11,0,100,26,5.089473684210526
370,-74093.54835647721,-86820.9599938533,193877.44973442302,19093.548356477215,11,0,100,25,8.889473684210527
371,-74081.3725928809,-92012.24506656108,190925.66019214902,19081.372592880896,11,0,100,27,7.447368421052632
372,-74081.3725928809,-86804.23248869894,190925.66019214902,19081.372592880896,11,0,100,27,11.610526315789473
373,-74081.3725928809,-98106.57252098189,190925.66019214902,19081.372592880896,11,0,100,35,6.626315789473685
374,-74081.3725928809,-105161.63990970701,190925.66019214902,19081.372592880896,11,0,100,44,7.431578947368421
375,-74081.3725928809,-103111.01027888985,190925.66019214902,19081.372592880896,11,0,100,42,12.373684210526315
376,-74081.3725928809,-108808.562648284,190925.66019214902,19081.372592880896,11,0,100,41,10.33157894736842
377,-74081.3725928809,-91748.68662534382,190925.66019214902,19081.372592880896,11,0,100,38,4.58421052631579
378,-74081.3725928809,-91675.26918548095,190925.66019214902,19081.372592880896,11,0,100,39,11.589473684210526
379,-74081.3725928809,-83269.8354562724,190925.66019214902,19081.372592880896,11,0,100,23,6.394736842105263
380,-74081.3725928809,-84618.62277456053,190925.66019214902,19081.372592880896,11,0,100,27,4.5473684210526315
381,-74081.3725928809,-88455.6899331757,190925.66019214902,19081.372592880896,11,0,100,28,0.8
382,-74081.3725928809,-85019.32189467044,190925.66019214902,19081.372592880896,11,0,100,30,3.389473684210526
383,-74000.85838956371,-90390.35097109374,192109.45182171103,19000.858389563706,11,0,100,31,6.352631578947369
384,-74000.85838956371,-88163.0436148404,192109.45182171103,19000.858389563706,11,0,100,38,9.394736842105264
385,-74000.85838956371,-93163.43792718396,192109.45182171103,19000.858389563706,11,0,100,33,13.442105263157895
386,-74000.85838956371,-88899.6288395636,192109.45182171103,19000.858389563706,11,0,100,36,9.447368421052632
387,-74000.85838956371,-94411.99366381062,192109.45182171103,19000.858389563706,11,0,100,42,3.3421052631578947
388,-74000.85838956371,-86296.8593707574,192109.45182171103,19000.858389563706,11,0,100,32,6.231578947368421
389,-74000.85838956371,-84357.83906823197,192109.45182171103,19000.858389563706,11,0,100,28,9.531578947368422
390,-74000.85838956371,-87302.83342678379,192109.45182171103,19000.858389563706,11,0,100,32,8.721052631578948
391,-74000.85838956371,-87043.18205982413,192109.45182171103,19000.858389563706,11,0,100,26,1.894736842105263
392,-74000.85838956371,-81465.35742816959,192109.45182171103,19000.858389563706,11,0,100,29,1.9947368421052631
393,-74000.85838956371,-81021.2509324619,192109.45182171103,19000.858389563706,11,0,100,20,1.7947368421052632
394,-74000.85838956371,-84126.56696212715,192109.45182171103,19000.858389563706,11,0,100,20,6.852631578947369
395,-74000.85838956371,-93663.55334604625,192109.45182171103,19000.858389563706,11,0,100,31,7.021052631578947
396,-74000.85838956371,-84498.050775248,192109.45182171103,19000.858389563706,11,0,100,27,4.9526315789473685
397,-74000.85838956371,-84885.0390827691,192109.45182171103,19000.858389563706,11,0,100,27,6.863157894736842
398,-74000.85838956371,-79799.93373005922,192109.45182171103,19000.858389563706,11,0,100,20,1.9894736842105263
399,-74000.85838956371,-94379.658253032,192109.45182171103,19000.858389563706,11,0,100,35,8.221052631578948
400,-74000.85838956371,-89510.35450253332,192109.45182171103,19000.858389563706,11,0,100,33,5.121052631578947
401,-74000.85838956371,-88651.01477286182,192109.45182171103,19000.858389563706,11,0,100,37,2.973684210526316
402,-74000.85838956371,-91953.83577793866,192109.45182171103,19000.858389563706,11,0,100,29,7.21578947368421
403,-74000.85838956371,-88925.11804783656,192109.45182171103,19000.858389563706,11,0,100,35,3.373684210526316
404,-74000.85838956371,-82931.21093489388,192109.45182171103,19000.858389563706,11,0,100,22,3.463157894736842
405,-74000.85838956371,-82137.84800709895,192109.45182171103,19000.858389563706,11,0,100,28,4.063157894736842
406,-74000.85838956371,-86873.61294440903,192109.45182171103,19000.858389563706,11,0,100,29,3.763157894736842
407,-74000.85838956371,-86198.43289423473,192109.45182171103,19000.858389563706,11,0,100,32,0.9789473684210527
408,-74000.85838956371,-87928.74336858472,192109.45182171103,19000.858389563706,11,0,100,26,3.0789473684210527
409,-74000.85838956371,-86429.49770661605,192109.45182171103,19000.858389563706,11,0,100,34,7.4
410,-74000.85838956371,-86549.10152803766,192109.45182171103,19000.858389563706,11,0,100,33,0.5947368421052631
411,-74000.85838956371,-87213.19351903633,192109.45182171103,19000.858389563706,11,0,100,34,3.7526315789473683
412,-74000.85838956371,-86236.36594446946,192109.45182171103,19000.858389563706,11,0,100,38,4.073684210526316
413,-74000.85838956371,-86447.8196695392,192109.45182171103,19000.858389563706,11,0,100,33,7.868421052631579
414,-74000.85838956371,-89768.07345471955,192109.45182171103,19000.858389563706,11,0,100,31,7.189473684210526
415,-74000.85838956371,-85032.90057793305,192109.45182171103,19000.858389563706,11,0,100,24,1.7842105263157895
416,-74000.85838956371,-88583.40680612477,192109.45182171103,19000.858389563706,11,0,100,36,8.694736842105263
417,-74000.85838956371,-86106.13828132163,192109.45182171103,19000.858389563706,11,0,100,35,2.3789473684210525
418,-74000.85838956371,-86093.44151996262,192109.45182171103,19000.858389563706,11,0,100,33,5.010526315789473
419,-74000.85838956371,-80073.44079118154,192109.45182171103,19000.858389563706,11,0,100,21,0.4
420,-74000.85838956371,-86498.89161272136,192109.45182171103,19000.858389563706,11,0,100,22,2.373684210526316
421,-74000.85838956371,-82076.55208076858,192109.45182171103,19000.858389563706,11,0,100,24,4.178947368421053
422,-73866.15402142963,-98237.1249758428,190047.96175667417,18866.154021429622,11,0,100,31,5.9526315789473685
423,-73866.15402142963,-88606.60109753208,190047.96175667417,18866.154021429622,11,0,100,31,3.7263157894736842
424,-73866.15402142963,-89363.11042187767,190047.96175667417,18866.154021429622,11,0,100,33,15.23157894736842
425,-73866.15402142963,-80302.55076217861,190047.96175667417,18866.154021429622,11,0,100,36,3.705263157894737
426,-73866.15402142963,-83536.31118461791,190047.96175667417,18866.154021429622,11,0,100,33,2.9789473684210526
427,-73866.15402142963,-82535.3074926776,190047.96175667417,18866.154021429622,11,0,100,30,4.621052631578947
428,-73866.15402142963,-90337.21159479946,190047.96175667417,18866.154021429622,11,0,100,29,3.9526315789473685
429,-73866.15402142963,-80953.48981266713,190047.96175667417,18866.154021429622,11,0,100,21,3.9947368421052634
430,-73866.15402142963,-89202.12877197022,190047.96175667417,18866.154021429622,11,0,100,27,13.847368421052632
431,-73866.15402142963,-80710.92662589942,190047.96175667417,18866.154021429622,11,0,100,22,5.531578947368421
432,-73866.15402142963,-84362.35096972059,190047.96175667417,18866.154021429622,11,0,100,20,5.873684210526315
433,-73866.15402142963,-89633.71852120338,190047.96175667417,18866.154021429622,11,0,100,26,9.678947368421053
434,-73866.15402142963,-85949.12398688115,190047.96175667417,18866.154021429622,11,0,100,22,7.515789473684211
435,-73865.78831506742,-78512.05285295364,189969.7817968501,18865.788315067424,11,0,100,24,0.8
436,-73865.78831506742,-89363.68546388345,189969.7817968501,18865.788315067424,11,0,100,35,6.605263157894737
437,-73865.78831506742,-81910.87597210078,189969.7817968501,18865.788315067424,11,0,100,29,1.568421052631579
438,-73865.78831506742,-91774.91445791438,189969.7817968501,18865.788315067424,11,0,100,36,9.442105263157895
439,-73865.78831506742,-84969.14413383383,189969.7817968501,18865.788315067424,11,0,100,28,10.836842105263157
440,-73865.78831506742,-92991.58102258715,189969.7817968501,18865.788315067424,11,0,100,34,8.06842105263158
441,-73865.78831506742,-85933.40255487262,189969.7817968501,18865.788315067424,11,0,100,33,3.1789473684210527
442,-73865.78831506742,-85845.79264220441,189969.7817968501,18865.788315067424,11,0,100,28,1.2947368421052632
443,-73865.78831506742,-85681.12393790831,189969.7817968501,18865.788315067424,11,0,100,25,9.257894736842106
444,-73865.78831506742,-81718.50209968751,189969.7817968501,18865.788315067424,11,0,100,25,8.173684210526316
445,-73865.78831506742,-83180.49184444938,189969.7817968501,18865.788315067424,11,0,100,23,4.173684210526316
446,-73865.78831506742,-84974.03322308915,189969.7817968501,18865.788315067424,11,0,100,29,3.778947368421053
447,-73865.78831506742,-81867.47051757286,189969.7817968501,18865.788315067424,11,0,100,26,4.6947368421052635
448,-73865.78831506742,-81457.84851736508,189969.7817968501,18865.788315067424,11,0,100,28,1.394736842105263
